Id,Subject Focus,Eyes,Face,Near,Action,Accessory,Group,Collage,Human,Occlusion,Info,Blur,Pawpularity
0018df346ac9c1d8413cfcc888ca8246_aug2,0,1,1,1,0,0,0,0,0,0,0,0,0.15
0018df346ac9c1d8413cfcc888ca8246_aug3,0,1,1,1,0,0,0,0,0,0,0,0,0.15
0018df346ac9c1d8413cfcc888ca8246_aug4,0,1,1,1,0,0,0,0,0,0,0,0,0.15
001dc955e10590d3ca4673f034feeef2,0,0,0,1,0,0,1,0,0,0,0,0,0.72
001dc955e10590d3ca4673f034feeef2_aug0,0,0,0,1,0,0,1,0,0,0,0,0,0.72
001dc955e10590d3ca4673f034feeef2_aug1,0,0,0,1,0,0,1,0,0,0,0,0,0.72
001dc955e10590d3ca4673f034feeef2_aug2,0,0,0,1,0,0,1,0,0,0,0,0,0.72
001dc955e10590d3ca4673f034feeef2_aug3,0,0,0,1,0,0,1,0,0,0,0,0,0.72
001dc955e10590d3ca4673f034feeef2_aug4,0,0,0,1,0,0,1,0,0,0,0,0,0.72
001dd4f6fafb890610b1635f967ea081,0,0,1,0,0,0,0,0,0,0,0,1,0.74
001dd4f6fafb890610b1635f967ea081_aug0,0,0,1,0,0,0,0,0,0,0,0,1,0.74
001dd4f6fafb890610b1635f967ea081_aug1,0,0,1,0,0,0,0,0,0,0,0,1,0.74
001dd4f6fafb890610b1635f967ea081_aug2,0,0,1,0,0,0,0,0,0,0,0,1,0.74
001dd4f6fafb890610b1635f967ea081_aug3,0,0,1,0,0,0,0,0,0,0,0,1,0.74
001dd4f6fafb890610b1635f967ea081_aug4,0,0,1,0,0,0,0,0,0,0,0,1,0.74
0023b8a3abc93c712edd6120867deb53,0,1,1,1,0,0,0,0,1,1,0,0,0.22
0023b8a3abc93c712edd6120867deb53_aug0,0,1,1,1,0,0,0,0,1,1,0,0,0.22
0023b8a3abc93c712edd6120867deb53_aug1,0,1,1,1,0,0,0,0,1,1,0,0,0.22
0023b8a3abc93c712edd6120867deb53_aug2,0,1,1,1,0,0,0,0,1,1,0,0,0.22
0023b8a3abc93c712edd6120867deb53_aug3,0,1,1,1,0,0,0,0,1,1,0,0,0.22
0023b8a3abc93c712edd6120867deb53_aug4,0,1,1,1,0,0,0,0,1,1,0,0,0.22
0031d6a9ef7340f898c3e05f92c7bb04,0,1,1,0,0,0,1,1,0,0,1,0,0.35
0031d6a9ef7340f898c3e05f92c7bb04_aug0,0,1,1,0,0,0,1,1,0,0,1,0,0.35
0031d6a9ef7340f898c3e05f92c7bb04_aug1,0,1,1,0,0,0,1,1,0,0,1,0,0.35
0031d6a9ef7340f898c3e05f92c7bb04_aug2,0,1,1,0,0,0,1,1,0,0,1,0,0.35
0031d6a9ef7340f898c3e05f92c7bb04_aug3,0,1,1,0,0,0,1,1,0,0,1,0,0.35
0031d6a9ef7340f898c3e05f92c7bb04_aug4,0,1,1,0,0,0,1,1,0,0,1,0,0.35
0042bc5bada6d1cf8951f8f9f0d399fa,0,1,1,1,0,0,0,0,0,0,0,0,0.53
0042bc5bada6d1cf8951f8f9f0d399fa_aug0,0,1,1,1,0,0,0,0,0,0,0,0,0.53
0042bc5bada6d1cf8951f8f9f0d399fa_aug1,0,1,1,1,0,0,0,0,0,0,0,0,0.53
0042bc5bada6d1cf8951f8f9f0d399fa_aug2,0,1,1,1,0,0,0,0,0,0,0,0,0.53
0042bc5bada6d1cf8951f8f9f0d399fa_aug3,0,1,1,1,0,0,0,0,0,0,0,0,0.53
0042bc5bada6d1cf8951f8f9f0d399fa_aug4,0,1,1,1,0,0,0,0,0,0,0,0,0.53
0049cb81313c94fa007286e9039af910,0,1,1,1,0,0,0,0,0,0,0,0,0.21
0049cb81313c94fa007286e9039af910_aug0,0,1,1,1,0,0,0,0,0,0,0,0,0.21
0049cb81313c94fa007286e9039af910_aug1,0,1,1,1,0,0,0,0,0,0,0,0,0.21
0049cb81313c94fa007286e9039af910_aug2,0,1,1,1,0,0,0,0,0,0,0,0,0.21
0049cb81313c94fa007286e9039af910_aug3,0,1,1,1,0,0,0,0,0,0,0,0,0.21
0049cb81313c94fa007286e9039af910_aug4,0,1,1,1,0,0,0,0,0,0,0,0,0.21
005017716086b8d5e118dd9fe26459b1,0,1,1,1,0,0,0,0,0,0,0,0,0.28
005017716086b8d5e118dd9fe26459b1_aug0,0,1,1,1,0,0,0,0,0,0,0,0,0.28
005017716086b8d5e118dd9fe26459b1_aug1,0,1,1,1,0,0,0,0,0,0,0,0,0.28
005017716086b8d5e118dd9fe26459b1_aug2,0,1,1,1,0,0,0,0,0,0,0,0,0.28
005017716086b8d5e118dd9fe26459b1_aug3,0,1,1,1,0,0,0,0,0,0,0,0,0.28
005017716086b8d5e118dd9fe26459b1_aug4,0,1,1,1,0,0,0,0,0,0,0,0,0.28
00524dbf2637a80cbc80f70d3ff59616,0,1,1,1,0,0,0,0,0,0,0,0,0.02
00524dbf2637a80cbc80f70d3ff59616_aug0,0,1,1,1,0,0,0,0,0,0,0,0,0.02
00524dbf2637a80cbc80f70d3ff59616_aug1,0,1,1,1,0,0,0,0,0,0,0,0,0.02
00524dbf2637a80cbc80f70d3ff59616_aug2,0,1,1,1,0,0,0,0,0,0,0,0,0.02
00524dbf2637a80cbc80f70d3ff59616_aug3,0,1,1,1,0,0,0,0,0,0,0,0,0.02
00524dbf2637a80cbc80f70d3ff59616_aug4,0,1,1,1,0,0,0,0,0,0,0,0,0.02
00630b1262efe301cb15a3b2022ba744,0,1,1,1,0,0,0,0,0,0,0,0,0.18
00630b1262efe301cb15a3b2022ba744_aug0,0,1,1,1,0,0,0,0,0,0,0,0,0.18
00630b1262efe301cb15a3b2022ba744_aug1,0,1,1,1,0,0,0,0,0,0,0,0,0.18
00630b1262efe301cb15a3b2022ba744_aug2,0,1,1,1,0,0,0,0,0,0,0,0,0.18
00630b1262efe301cb15a3b2022ba744_aug3,0,1,1,1,0,0,0,0,0,0,0,0,0.18
00630b1262efe301cb15a3b2022ba744_aug4,0,1,1,1,0,0,0,0,0,0,0,0,0.18
006483b96ca9c09b7afed3e3d3af539d,0,1,1,1,0,0,0,0,1,1,0,0,0.41
006483b96ca9c09b7afed3e3d3af539d_aug0,0,1,1,1,0,0,0,0,1,1,0,0,0.41
006483b96ca9c09b7afed3e3d3af539d_aug1,0,1,1,1,0,0,0,0,1,1,0,0,0.41
006483b96ca9c09b7afed3e3d3af539d_aug2,0,1,1,1,0,0,0,0,1,1,0,0,0.41
006483b96ca9c09b7afed3e3d3af539d_aug3,0,1,1,1,0,0,0,0,1,1,0,0,0.41
006483b96ca9c09b7afed3e3d3af539d_aug4,0,1,1,1,0,0,0,0,1,1,0,0,0.41
00655425c10d4c082dd7eeb97fa4fb17,0,1,0,0,0,1,0,0,0,0,0,0,0.13
00655425c10d4c082dd7eeb97fa4fb17_aug0,0,1,0,0,0,1,0,0,0,0,0,0,0.13
00655425c10d4c082dd7eeb97fa4fb17_aug1,0,1,0,0,0,1,0,0,0,0,0,0,0.13
00655425c10d4c082dd7eeb97fa4fb17_aug2,0,1,0,0,0,1,0,0,0,0,0,0,0.13
00655425c10d4c082dd7eeb97fa4fb17_aug3,0,1,0,0,0,1,0,0,0,0,0,0,0.13
00655425c10d4c082dd7eeb97fa4fb17_aug4,0,1,0,0,0,1,0,0,0,0,0,0,0.13
0067aaaa500b530c76b9c91af34b4cb8,0,1,1,1,0,0,0,0,0,0,0,0,0.98
0067aaaa500b530c76b9c91af34b4cb8_aug0,0,1,1,1,0,0,0,0,0,0,0,0,0.98
0067aaaa500b530c76b9c91af34b4cb8_aug1,0,1,1,1,0,0,0,0,0,0,0,0,0.98
0067aaaa500b530c76b9c91af34b4cb8_aug2,0,1,1,1,0,0,0,0,0,0,0,0,0.98
0067aaaa500b530c76b9c91af34b4cb8_aug3,0,1,1,1,0,0,0,0,0,0,0,0,0.98
0067aaaa500b530c76b9c91af34b4cb8_aug4,0,1,1,1,0,0,0,0,0,0,0,0,0.98
006cda7fec46a527f9f627f4722a2304,0,0,0,1,0,0,0,0,0,0,0,1,0.34
006cda7fec46a527f9f627f4722a2304_aug0,0,0,0,1,0,0,0,0,0,0,0,1,0.34
006cda7fec46a527f9f627f4722a2304_aug1,0,0,0,1,0,0,0,0,0,0,0,1,0.34
006cda7fec46a527f9f627f4722a2304_aug2,0,0,0,1,0,0,0,0,0,0,0,1,0.34
006cda7fec46a527f9f627f4722a2304_aug3,0,0,0,1,0,0,0,0,0,0,0,1,0.34
006cda7fec46a527f9f627f4722a2304_aug4,0,0,0,1,0,0,0,0,0,0,0,1,0.34
006fe962f5f7e2c5f527b2e27e28ed6d,0,1,1,0,0,0,0,1,1,1,0,0,0.69
006fe962f5f7e2c5f527b2e27e28ed6d_aug0,0,1,1,0,0,0,0,1,1,1,0,0,0.69
006fe962f5f7e2c5f527b2e27e28ed6d_aug1,0,1,1,0,0,0,0,1,1,1,0,0,0.69
006fe962f5f7e2c5f527b2e27e28ed6d_aug2,0,1,1,0,0,0,0,1,1,1,0,0,0.69
006fe962f5f7e2c5f527b2e27e28ed6d_aug3,0,1,1,0,0,0,0,1,1,1,0,0,0.69
006fe962f5f7e2c5f527b2e27e28ed6d_aug4,0,1,1,0,0,0,0,1,1,1,0,0,0.69
0075ec6503412f21cf65ac5f43d80440,0,0,1,1,0,0,0,0,0,0,0,0,0.53
0075ec6503412f21cf65ac5f43d80440_aug0,0,0,1,1,0,0,0,0,0,0,0,0,0.53
0075ec6503412f21cf65ac5f43d80440_aug1,0,0,1,1,0,0,0,0,0,0,0,0,0.53
0075ec6503412f21cf65ac5f43d80440_aug2,0,0,1,1,0,0,0,0,0,0,0,0,0.53
0075ec6503412f21cf65ac5f43d80440_aug3,0,0,1,1,0,0,0,0,0,0,0,0,0.53
0075ec6503412f21cf65ac5f43d80440_aug4,0,0,1,1,0,0,0,0,0,0,0,0,0.53
00768659c1c90409f81dcdecbd270513,0,1,1,0,0,0,0,0,0,0,0,0,1.0
00768659c1c90409f81dcdecbd270513_aug0,0,1,1,0,0,0,0,0,0,0,0,0,1.0
00768659c1c90409f81dcdecbd270513_aug1,0,1,1,0,0,0,0,0,0,0,0,0,1.0
00768659c1c90409f81dcdecbd270513_aug2,0,1,1,0,0,0,0,0,0,0,0,0,1.0
00768659c1c90409f81dcdecbd270513_aug3,0,1,1,0,0,0,0,0,0,0,0,0,1.0
00768659c1c90409f81dcdecbd270513_aug4,0,1,1,0,0,0,0,0,0,0,0,0,1.0
007c6ea0ccfca08d4736e5f459ed274a,0,1,1,1,0,0,0,1,0,0,0,0,0.29
007c6ea0ccfca08d4736e5f459ed274a_aug0,0,1,1,1,0,0,0,1,0,0,0,0,0.29
007c6ea0ccfca08d4736e5f459ed274a_aug1,0,1,1,1,0,0,0,1,0,0,0,0,0.29
007c6ea0ccfca08d4736e5f459ed274a_aug2,0,1,1,1,0,0,0,1,0,0,0,0,0.29
007c6ea0ccfca08d4736e5f459ed274a_aug3,0,1,1,1,0,0,0,1,0,0,0,0,0.29
007c6ea0ccfca08d4736e5f459ed274a_aug4,0,1,1,1,0,0,0,1,0,0,0,0,0.29
00838b02764e8d37edde39ed18693427,0,0,0,1,0,0,1,0,0,0,0,0,0.27
00838b02764e8d37edde39ed18693427_aug0,0,0,0,1,0,0,1,0,0,0,0,0,0.27
00838b02764e8d37edde39ed18693427_aug1,0,0,0,1,0,0,1,0,0,0,0,0,0.27
00838b02764e8d37edde39ed18693427_aug2,0,0,0,1,0,0,1,0,0,0,0,0,0.27
00838b02764e8d37edde39ed18693427_aug3,0,0,0,1,0,0,1,0,0,0,0,0,0.27
00838b02764e8d37edde39ed18693427_aug4,0,0,0,1,0,0,1,0,0,0,0,0,0.27
0084a12f432ef6e47e8b9ff04d8a32b4,0,1,1,1,0,0,0,0,0,0,0,0,0.28
0084a12f432ef6e47e8b9ff04d8a32b4_aug0,0,1,1,1,0,0,0,0,0,0,0,0,0.28
0084a12f432ef6e47e8b9ff04d8a32b4_aug1,0,1,1,1,0,0,0,0,0,0,0,0,0.28
0084a12f432ef6e47e8b9ff04d8a32b4_aug2,0,1,1,1,0,0,0,0,0,0,0,0,0.28
0084a12f432ef6e47e8b9ff04d8a32b4_aug3,0,1,1,1,0,0,0,0,0,0,0,0,0.28
0084a12f432ef6e47e8b9ff04d8a32b4_aug4,0,1,1,1,0,0,0,0,0,0,0,0,0.28
0085bfb9a7ebfd776cb804d8b456bb05,0,1,1,1,0,0,0,0,0,0,0,0,0.5
0085bfb9a7ebfd776cb804d8b456bb05_aug0,0,1,1,1,0,0,0,0,0,0,0,0,0.5
0085bfb9a7ebfd776cb804d8b456bb05_aug1,0,1,1,1,0,0,0,0,0,0,0,0,0.5
0085bfb9a7ebfd776cb804d8b456bb05_aug2,0,1,1,1,0,0,0,0,0,0,0,0,0.5
0085bfb9a7ebfd776cb804d8b456bb05_aug3,0,1,1,1,0,0,0,0,0,0,0,0,0.5
0085bfb9a7ebfd776cb804d8b456bb05_aug4,0,1,1,1,0,0,0,0,0,0,0,0,0.5
009367718f506d87cd898ed0310a2392,0,1,1,1,0,0,0,0,0,0,0,0,0.36
009367718f506d87cd898ed0310a2392_aug0,0,1,1,1,0,0,0,0,0,0,0,0,0.36
009367718f506d87cd898ed0310a2392_aug1,0,1,1,1,0,0,0,0,0,0,0,0,0.36
009367718f506d87cd898ed0310a2392_aug2,0,1,1,1,0,0,0,0,0,0,0,0,0.36
009367718f506d87cd898ed0310a2392_aug3,0,1,1,1,0,0,0,0,0,0,0,0,0.36
009367718f506d87cd898ed0310a2392_aug4,0,1,1,1,0,0,0,0,0,0,0,0,0.36
0095f81bab3b68a4f70e99f0fcec7b06,0,0,1,1,0,0,0,0,1,0,0,1,0.15
0095f81bab3b68a4f70e99f0fcec7b06_aug0,0,0,1,1,0,0,0,0,1,0,0,1,0.15
0095f81bab3b68a4f70e99f0fcec7b06_aug1,0,0,1,1,0,0,0,0,1,0,0,1,0.15
0095f81bab3b68a4f70e99f0fcec7b06_aug2,0,0,1,1,0,0,0,0,1,0,0,1,0.15
0095f81bab3b68a4f70e99f0fcec7b06_aug3,0,0,1,1,0,0,0,0,1,0,0,1,0.15
0095f81bab3b68a4f70e99f0fcec7b06_aug4,0,0,1,1,0,0,0,0,1,0,0,1,0.15
00a1ae8867e0bb89f061679e1cf29e80,0,1,1,0,0,0,1,0,0,0,0,0,0.52
00a1ae8867e0bb89f061679e1cf29e80_aug0,0,1,1,0,0,0,1,0,0,0,0,0,0.52
00a1ae8867e0bb89f061679e1cf29e80_aug1,0,1,1,0,0,0,1,0,0,0,0,0,0.52
00a1ae8867e0bb89f061679e1cf29e80_aug2,0,1,1,0,0,0,1,0,0,0,0,0,0.52
00a1ae8867e0bb89f061679e1cf29e80_aug3,0,1,1,0,0,0,1,0,0,0,0,0,0.52
00a1ae8867e0bb89f061679e1cf29e80_aug4,0,1,1,0,0,0,1,0,0,0,0,0,0.52
00a1e0c0f89ff89a8f32d42e9025f6b2,0,1,1,1,0,0,0,0,0,0,0,0,0.4
00a1e0c0f89ff89a8f32d42e9025f6b2_aug0,0,1,1,1,0,0,0,0,0,0,0,0,0.4
00a1e0c0f89ff89a8f32d42e9025f6b2_aug1,0,1,1,1,0,0,0,0,0,0,0,0,0.4
00a1e0c0f89ff89a8f32d42e9025f6b2_aug2,0,1,1,1,0,0,0,0,0,0,0,0,0.4
00a1e0c0f89ff89a8f32d42e9025f6b2_aug3,0,1,1,1,0,0,0,0,0,0,0,0,0.4
00a1e0c0f89ff89a8f32d42e9025f6b2_aug4,0,1,1,1,0,0,0,0,0,0,0,0,0.4
00a6d367daed96f77be6c91db493dfed,0,1,1,0,0,0,0,0,0,0,0,0,0.29
00a6d367daed96f77be6c91db493dfed_aug0,0,1,1,0,0,0,0,0,0,0,0,0,0.29
00a6d367daed96f77be6c91db493dfed_aug1,0,1,1,0,0,0,0,0,0,0,0,0,0.29
00a6d367daed96f77be6c91db493dfed_aug2,0,1,1,0,0,0,0,0,0,0,0,0,0.29
00a6d367daed96f77be6c91db493dfed_aug3,0,1,1,0,0,0,0,0,0,0,0,0,0.29
00a6d367daed96f77be6c91db493dfed_aug4,0,1,1,0,0,0,0,0,0,0,0,0,0.29
00b151a572c9aabedf8cfce0fa18be25,0,0,1,1,0,0,0,0,0,0,0,1,0.21
00b151a572c9aabedf8cfce0fa18be25_aug0,0,0,1,1,0,0,0,0,0,0,0,1,0.21
00b151a572c9aabedf8cfce0fa18be25_aug1,0,0,1,1,0,0,0,0,0,0,0,1,0.21
00b151a572c9aabedf8cfce0fa18be25_aug2,0,0,1,1,0,0,0,0,0,0,0,1,0.21
00b151a572c9aabedf8cfce0fa18be25_aug3,0,0,1,1,0,0,0,0,0,0,0,1,0.21
00b151a572c9aabedf8cfce0fa18be25_aug4,0,0,1,1,0,0,0,0,0,0,0,1,0.21
00c7b596627da7425b624d6b16c88a25,0,1,1,1,0,0,0,0,0,0,0,0,0.34
00c7b596627da7425b624d6b16c88a25_aug0,0,1,1,1,0,0,0,0,0,0,0,0,0.34
00c7b596627da7425b624d6b16c88a25_aug1,0,1,1,1,0,0,0,0,0,0,0,0,0.34
00c7b596627da7425b624d6b16c88a25_aug2,0,1,1,1,0,0,0,0,0,0,0,0,0.34
00c7b596627da7425b624d6b16c88a25_aug3,0,1,1,1,0,0,0,0,0,0,0,0,0.34
00c7b596627da7425b624d6b16c88a25_aug4,0,1,1,1,0,0,0,0,0,0,0,0,0.34
00d1cb2ec8b263ae076ff95cae513a88,0,1,1,1,0,0,0,0,0,0,0,0,0.31
00d1cb2ec8b263ae076ff95cae513a88_aug0,0,1,1,1,0,0,0,0,0,0,0,0,0.31
00d1cb2ec8b263ae076ff95cae513a88_aug1,0,1,1,1,0,0,0,0,0,0,0,0,0.31
00d1cb2ec8b263ae076ff95cae513a88_aug2,0,1,1,1,0,0,0,0,0,0,0,0,0.31
00d1cb2ec8b263ae076ff95cae513a88_aug3,0,1,1,1,0,0,0,0,0,0,0,0,0.31
00d1cb2ec8b263ae076ff95cae513a88_aug4,0,1,1,1,0,0,0,0,0,0,0,0,0.31
00d560ebe5e1b2450eb530a2c96d08a3,0,1,1,1,0,0,1,0,0,0,0,0,0.67
00d560ebe5e1b2450eb530a2c96d08a3_aug0,0,1,1,1,0,0,1,0,0,0,0,0,0.67
00d560ebe5e1b2450eb530a2c96d08a3_aug1,0,1,1,1,0,0,1,0,0,0,0,0,0.67
00d560ebe5e1b2450eb530a2c96d08a3_aug2,0,1,1,1,0,0,1,0,0,0,0,0,0.67
00d560ebe5e1b2450eb530a2c96d08a3_aug3,0,1,1,1,0,0,1,0,0,0,0,0,0.67
00d560ebe5e1b2450eb530a2c96d08a3_aug4,0,1,1,1,0,0,1,0,0,0,0,0,0.67
00ddc7582953fb2c862e751e2b5d45f0,0,1,1,1,0,0,1,0,0,0,0,0,0.54
00ddc7582953fb2c862e751e2b5d45f0_aug0,0,1,1,1,0,0,1,0,0,0,0,0,0.54
00ddc7582953fb2c862e751e2b5d45f0_aug1,0,1,1,1,0,0,1,0,0,0,0,0,0.54
00ddc7582953fb2c862e751e2b5d45f0_aug2,0,1,1,1,0,0,1,0,0,0,0,0,0.54
00ddc7582953fb2c862e751e2b5d45f0_aug3,0,1,1,1,0,0,1,0,0,0,0,0,0.54
00ddc7582953fb2c862e751e2b5d45f0_aug4,0,1,1,1,0,0,1,0,0,0,0,0,0.54
00df0a668441b10869f4372fd15c14f5,0,0,0,1,0,0,0,0,0,0,0,0,0.69
00df0a668441b10869f4372fd15c14f5_aug0,0,0,0,1,0,0,0,0,0,0,0,0,0.69
00df0a668441b10869f4372fd15c14f5_aug1,0,0,0,1,0,0,0,0,0,0,0,0,0.69
00df0a668441b10869f4372fd15c14f5_aug2,0,0,0,1,0,0,0,0,0,0,0,0,0.69
00df0a668441b10869f4372fd15c14f5_aug3,0,0,0,1,0,0,0,0,0,0,0,0,0.69
00df0a668441b10869f4372fd15c14f5_aug4,0,0,0,1,0,0,0,0,0,0,0,0,0.69
00dff6959ce41208a9e0528744162332,0,1,1,1,0,0,0,0,0,1,0,0,0.3
00dff6959ce41208a9e0528744162332_aug0,0,1,1,1,0,0,0,0,0,1,0,0,0.3
00dff6959ce41208a9e0528744162332_aug1,0,1,1,1,0,0,0,0,0,1,0,0,0.3
00dff6959ce41208a9e0528744162332_aug2,0,1,1,1,0,0,0,0,0,1,0,0,0.3
00dff6959ce41208a9e0528744162332_aug3,0,1,1,1,0,0,0,0,0,1,0,0,0.3
00dff6959ce41208a9e0528744162332_aug4,0,1,1,1,0,0,0,0,0,1,0,0,0.3
00e75416298ca240f7746181ee196600,0,1,1,1,0,0,1,0,0,0,0,0,0.29
00e75416298ca240f7746181ee196600_aug0,0,1,1,1,0,0,1,0,0,0,0,0,0.29
00e75416298ca240f7746181ee196600_aug1,0,1,1,1,0,0,1,0,0,0,0,0,0.29
00e75416298ca240f7746181ee196600_aug2,0,1,1,1,0,0,1,0,0,0,0,0,0.29
00e75416298ca240f7746181ee196600_aug3,0,1,1,1,0,0,1,0,0,0,0,0,0.29
00e75416298ca240f7746181ee196600_aug4,0,1,1,1,0,0,1,0,0,0,0,0,0.29
00e75d192cd4b26798933a817b04ccd9,0,1,1,0,0,0,0,0,0,0,0,0,0.68
00e75d192cd4b26798933a817b04ccd9_aug0,0,1,1,0,0,0,0,0,0,0,0,0,0.68
00e75d192cd4b26798933a817b04ccd9_aug1,0,1,1,0,0,0,0,0,0,0,0,0,0.68
00e75d192cd4b26798933a817b04ccd9_aug2,0,1,1,0,0,0,0,0,0,0,0,0,0.68
00e75d192cd4b26798933a817b04ccd9_aug3,0,1,1,0,0,0,0,0,0,0,0,0,0.68
00e75d192cd4b26798933a817b04ccd9_aug4,0,1,1,0,0,0,0,0,0,0,0,0,0.68
00e83013f21b99cd7edb1d4e545f6579,0,0,1,1,0,0,0,0,0,0,0,0,0.24
00e83013f21b99cd7edb1d4e545f6579_aug0,0,0,1,1,0,0,0,0,0,0,0,0,0.24
00e83013f21b99cd7edb1d4e545f6579_aug1,0,0,1,1,0,0,0,0,0,0,0,0,0.24
00e83013f21b99cd7edb1d4e545f6579_aug2,0,0,1,1,0,0,0,0,0,0,0,0,0.24
00e83013f21b99cd7edb1d4e545f6579_aug3,0,0,1,1,0,0,0,0,0,0,0,0,0.24
00e83013f21b99cd7edb1d4e545f6579_aug4,0,0,1,1,0,0,0,0,0,0,0,0,0.24
00eb7cc3d158a6addbcbde1f267d7d15,0,1,1,1,0,0,0,0,0,0,0,0,0.47
00eb7cc3d158a6addbcbde1f267d7d15_aug0,0,1,1,1,0,0,0,0,0,0,0,0,0.47
00eb7cc3d158a6addbcbde1f267d7d15_aug1,0,1,1,1,0,0,0,0,0,0,0,0,0.47
00eb7cc3d158a6addbcbde1f267d7d15_aug2,0,1,1,1,0,0,0,0,0,0,0,0,0.47
00eb7cc3d158a6addbcbde1f267d7d15_aug3,0,1,1,1,0,0,0,0,0,0,0,0,0.47
00eb7cc3d158a6addbcbde1f267d7d15_aug4,0,1,1,1,0,0,0,0,0,0,0,0,0.47
00f6f38380bec413074150c18b2828d2,0,0,1,1,0,0,0,0,0,0,0,1,0.16
00f6f38380bec413074150c18b2828d2_aug0,0,0,1,1,0,0,0,0,0,0,0,1,0.16
00f6f38380bec413074150c18b2828d2_aug1,0,0,1,1,0,0,0,0,0,0,0,1,0.16
00f6f38380bec413074150c18b2828d2_aug2,0,0,1,1,0,0,0,0,0,0,0,1,0.16
00f6f38380bec413074150c18b2828d2_aug3,0,0,1,1,0,0,0,0,0,0,0,1,0.16
00f6f38380bec413074150c18b2828d2_aug4,0,0,1,1,0,0,0,0,0,0,0,1,0.16
00fb5be5bf4e956ea4abb99f41c0b9ec,0,1,1,1,0,0,0,0,0,0,0,0,0.42
00fb5be5bf4e956ea4abb99f41c0b9ec_aug0,0,1,1,1,0,0,0,0,0,0,0,0,0.42
00fb5be5bf4e956ea4abb99f41c0b9ec_aug1,0,1,1,1,0,0,0,0,0,0,0,0,0.42
00fb5be5bf4e956ea4abb99f41c0b9ec_aug2,0,1,1,1,0,0,0,0,0,0,0,0,0.42
00fb5be5bf4e956ea4abb99f41c0b9ec_aug3,0,1,1,1,0,0,0,0,0,0,0,0,0.42
00fb5be5bf4e956ea4abb99f41c0b9ec_aug4,0,1,1,1,0,0,0,0,0,0,0,0,0.42
00fe27dcd1daf42c85365e837415878c,0,1,1,1,0,0,0,0,0,0,0,0,0.53
00fe27dcd1daf42c85365e837415878c_aug0,0,1,1,1,0,0,0,0,0,0,0,0,0.53
00fe27dcd1daf42c85365e837415878c_aug1,0,1,1,1,0,0,0,0,0,0,0,0,0.53
00fe27dcd1daf42c85365e837415878c_aug2,0,1,1,1,0,0,0,0,0,0,0,0,0.53
00fe27dcd1daf42c85365e837415878c_aug3,0,1,1,1,0,0,0,0,0,0,0,0,0.53
00fe27dcd1daf42c85365e837415878c_aug4,0,1,1,1,0,0,0,0,0,0,0,0,0.53
00ff89af70382e1dede4c7091c454e47,0,1,1,1,0,0,0,0,1,1,0,0,0.31
00ff89af70382e1dede4c7091c454e47_aug0,0,1,1,1,0,0,0,0,1,1,0,0,0.31
00ff89af70382e1dede4c7091c454e47_aug1,0,1,1,1,0,0,0,0,1,1,0,0,0.31
00ff89af70382e1dede4c7091c454e47_aug2,0,1,1,1,0,0,0,0,1,1,0,0,0.31
